,date,category_id,sku_id,sales_price,sales_quantity
0,2020-11-01,7,1045,284.7,1
5544,2020-11-01,17,605572,62.322,1
1148,2020-11-01,7,49020,388.7,0
11284,2020-11-01,7,840709,61.022,1
5558,2020-11-01,17,605573,62.322,1
5572,2020-11-01,7,609713,778.7,0
5586,2020-11-01,7,609715,453.7,0
5530,2020-11-01,7,605416,1428.7,0
1134,2020-11-01,7,49019,375.7,0
10416,2020-11-01,7,812669,778.7,0
5600,2020-11-01,17,610642,75.4,4
5614,2020-11-01,7,610895,765.7,0
5628,2020-11-01,7,610896,557.7,0
1120,2020-11-01,7,47726,310.7,0
5642,2020-11-01,7,619579,323.7,1
9646,2020-11-01,7,790006,1097.2,0
5516,2020-11-01,7,605414,564.2,0
9660,2020-11-01,7,790007,362.7,0
1162,2020-11-01,7,50227,1038.7,0
1204,2020-11-01,7,55559,349.7,0
5390,2020-11-01,7,598039,1279.2,0
10402,2020-11-01,7,812668,778.7,0
5404,2020-11-01,7,598061,596.7,0
5418,2020-11-01,7,598064,427.7,0
1190,2020-11-01,7,52081,486.2,0
5432,2020-11-01,7,598066,492.7,0
9674,2020-11-01,7,791994,928.2,1
5446,2020-11-01,7,598393,180.7,1
10976,2020-11-01,7,826433,291.2,1
1176,2020-11-01,7,50663,1493.7,0
5460,2020-11-01,7,605403,648.7,0
5474,2020-11-01,7,605404,720.2,0
5488,2020-11-01,7,605407,518.7,0
5502,2020-11-01,7,605410,687.7,0
10962,2020-11-01,7,826421,284.7,0
5376,2020-11-01,7,597016,232.7,0
5656,2020-11-01,7,619580,323.7,0
1106,2020-11-01,7,46088,707.2,0
5852,2020-11-01,17,623516,65.0,1
10948,2020-11-01,7,826414,882.7,0
5866,2020-11-01,7,624099,518.7,0
5880,2020-11-01,7,630969,973.7,0
5894,2020-11-01,7,630972,973.7,0
1036,2020-11-01,7,37403,635.7,0
1050,2020-11-01,7,37441,1948.7,0
10430,2020-11-01,17,812739,58.5,1
10682,2020-11-01,23,820884,40.547,5
5908,2020-11-01,7,630974,245.7,0
5922,2020-11-01,7,630976,252.2,0
1022,2020-11-01,7,34566,336.7,0
5936,2020-11-01,7,630977,154.70000000000002,0
5950,2020-11-01,7,630978,161.20000000000002,0
9590,2020-11-01,7,789069,505.7000000000001,0
5838,2020-11-01,17,623515,83.122,4
9604,2020-11-01,7,789088,375.7,0
5824,2020-11-01,7,621643,1298.7,0
9632,2020-11-01,7,790005,395.2,0
5684,2020-11-01,7,619584,161.20000000000002,2
5698,2020-11-01,7,619585,180.7,1
5712,2020-11-01,7,619647,635.7,0
1092,2020-11-01,7,38044,213.2,0
5726,2020-11-01,7,619880,135.20000000000002,1
5740,2020-11-01,7,619881,135.20000000000002,0
9618,2020-11-01,7,790004,564.2,0
5754,2020-11-01,7,620959,258.7,0
1078,2020-11-01,7,37939,1038.7,0
5768,2020-11-01,7,620960,284.7,0
5782,2020-11-01,17,621322,54.6,1
5796,2020-11-01,17,621334,53.3,0
5810,2020-11-01,7,621633,707.2,0
1064,2020-11-01,7,37544,310.7,1
5670,2020-11-01,7,619582,161.20000000000002,1
5362,2020-11-01,7,597015,232.7,1
5348,2020-11-01,7,596156,129.987,1
9688,2020-11-01,7,792124,1090.7,0
1358,2020-11-01,7,72483,369.2,0
10374,2020-11-01,7,811984,64.98700000000001,1
4914,2020-11-01,7,563958,648.7,0
9758,2020-11-01,17,794009,65.65,1
4928,2020-11-01,17,564762,53.95,1
1344,2020-11-01,7,72372,297.7,0
4900,2020-11-01,7,559444,375.7,1
11270,2020-11-01,17,840635,61.022,1
4956,2020-11-01,7,565784,219.7,0
4970,2020-11-01,7,566236,778.7,1
4984,2020-11-01,7,566241,362.7,1
1330,2020-11-01,7,70019,356.2,0
4998,2020-11-01,7,566987,258.7,1
5012,2020-11-01,7,566988,278.2,0
4942,2020-11-01,17,564763,53.95,1
4886,2020-11-01,7,559442,356.2,0
4872,2020-11-01,7,559439,356.2,0
10626,2020-11-01,17,820163,61.1,2
4760,2020-11-01,7,554957,466.7,0
9786,2020-11-01,7,794096,56.797,0
10668,2020-11-01,7,820439,947.7,0
4774,2020-11-01,7,554958,465.4,0
1400,2020-11-01,7,81158,1558.7,1
4788,2020-11-01,17,556333,72.722,1
4802,2020-11-01,7,558803,388.7,0
4816,2020-11-01,7,558805,908.7,0
4830,2020-11-01,7,558809,1103.7,0
1386,2020-11-01,7,76072,304.2,0
4844,2020-11-01,7,558923,687.7,0
9772,2020-11-01,7,794095,56.797,0
4858,2020-11-01,7,558924,362.7,1
1372,2020-11-01,7,72694,531.7,0
11018,2020-11-01,7,826976,206.7,1
9744,2020-11-01,7,792652,97.487,0
5026,2020-11-01,7,566990,583.7,0
1316,2020-11-01,23,69265,42.627,17
5040,2020-11-01,7,566991,583.7,0
5208,2020-11-01,7,590001,538.2,0
5222,2020-11-01,7,590067,310.7,0
5236,2020-11-01,7,590069,889.2,0
1246,2020-11-01,7,58116,798.2,0
5250,2020-11-01,7,591592,908.7,0
10990,2020-11-01,7,826434,414.7,1
5264,2020-11-01,7,591594,1688.7,0
9702,2020-11-01,7,792147,310.7,0
5278,2020-11-01,7,593298,265.2,0
1232,2020-11-01,17,55592,66.222,1
5292,2020-11-01,7,593299,245.7,0
5306,2020-11-01,7,593428,674.7,0
5320,2020-11-01,7,593432,323.7,0
5334,2020-11-01,7,596152,50.687000000000005,3
1218,2020-11-01,7,55560,258.7,1
1260,2020-11-01,7,58118,440.7,0
5964,2020-11-01,7,630980,167.70000000000002,1
5194,2020-11-01,17,589894,65.0,5
9716,2020-11-01,7,792650,674.7,0
5054,2020-11-01,17,567734,61.022,1
11004,2020-11-01,7,826490,206.7,0
5068,2020-11-01,7,571648,570.7,0
1302,2020-11-01,17,68943,116.922,0
5082,2020-11-01,17,575011,66.222,3
9730,2020-11-01,7,792651,97.487,0
5096,2020-11-01,17,575013,66.222,6
5110,2020-11-01,17,577581,61.1,1
1288,2020-11-01,7,67884,850.2,0
10388,2020-11-01,23,812571,42.627,7
5124,2020-11-01,7,579498,453.7,0
5138,2020-11-01,7,579512,479.7,0
5152,2020-11-01,23,587358,42.237,7
1274,2020-11-01,7,67709,642.2,0
5166,2020-11-01,7,588523,778.7,0
5180,2020-11-01,17,589893,63.7,4
4746,2020-11-01,7,553447,518.7,0
5978,2020-11-01,7,630982,232.752,1
9576,2020-11-01,17,788918,63.7,1
742,2020-11-01,17,18098,81.9,12
6804,2020-11-01,17,687798,61.75,2
9436,2020-11-01,17,783816,56.55,5
6818,2020-11-01,7,687871,1428.7,0
728,2020-11-01,7,17771,343.2,0
6832,2020-11-01,17,687911,66.3,1
6790,2020-11-01,7,687243,206.7,0
10878,2020-11-01,17,824706,78.0,9
6860,2020-11-01,7,692794,388.7,0
6874,2020-11-01,7,692795,388.7,0
714,2020-11-01,7,16741,973.7,0
10486,2020-11-01,17,815289,71.5,23
9422,2020-11-01,17,783815,69.472,2
6888,2020-11-01,7,692838,583.7,0
6846,2020-11-01,7,692793,284.7,0
6776,2020-11-01,7,687242,206.7,0
6762,2020-11-01,7,683679,167.70000000000002,1
11312,2020-11-01,7,840711,61.022,1
6636,2020-11-01,7,676461,544.7,0
10892,2020-11-01,7,825637,453.7,1
6650,2020-11-01,7,676600,453.7,0
784,2020-11-01,7,21449,908.7,0
9464,2020-11-01,7,785549,232.7,0
6664,2020-11-01,7,678364,310.7,1
6678,2020-11-01,17,680319,75.4,4
6692,2020-11-01,17,680320,75.4,1
6706,2020-11-01,17,680321,76.7,1
770,2020-11-01,7,21442,752.7,0
6720,2020-11-01,17,680322,76.05,1
9450,2020-11-01,17,783866,68.9,2
6734,2020-11-01,7,680520,427.7,0
6748,2020-11-01,17,681199,83.2,1
756,2020-11-01,7,19076,798.2,0
6902,2020-11-01,7,693490,161.20000000000002,0
10472,2020-11-01,7,814913,375.7,0
700,2020-11-01,23,15272,26.377,4
6930,2020-11-01,7,695421,1064.7,0
7098,2020-11-01,17,702119,68.9,3
7112,2020-11-01,17,702121,61.022,1
9380,2020-11-01,7,783476,882.7,0
7126,2020-11-01,17,702122,61.022,1
630,2020-11-01,7,14010,583.7,0
10500,2020-11-01,7,815702,440.7,0
644,2020-11-01,7,14016,505.7000000000001,0
7140,2020-11-01,17,702662,70.2,3
7168,2020-11-01,17,704071,84.422,3
616,2020-11-01,7,13254,1019.2,0
7182,2020-11-01,7,704184,778.7,0
7196,2020-11-01,7,704958,908.7,0
7210,2020-11-01,7,704966,648.7,0
602,2020-11-01,7,11817,362.7,0
7154,2020-11-01,17,704070,84.422,2
